taxonomic_level,name,ioc_species_count,authority_min,authority_max,authority_spread
genus,Argya,16,15,16,1
genus,Arizelocichla,10,6,10,4
genus,Arizelopsar,1,1,1,0
genus,Arremon,22,19,22,3
genus,Arremonops,4,4,4,0
genus,Arses,4,4,4,0
genus,Artamella,1,1,1,0
genus,Artamus,11,11,11,0
genus,Artemisiospiza,2,2,2,0
genus,Artisornis,2,2,2,0
genus,Artomyias,2,2,2,0
genus,Arundinax,1,1,1,0
genus,Arundinicola,1,1,1,0
genus,Asarcornis,1,1,1,0
genus,Asemospiza,2,2,2,0
genus,Ashbyia,1,1,1,0
genus,Asio,9,9,9,0
genus,Aspatha,1,1,1,0
genus,Asthenes,29,26,29,3
genus,Astrapia,5,5,5,0
genus,Astur,9,7,9,2
genus,Atalotriccus,1,1,1,0
genus,Atelornis,2,2,2,0
genus,Athene,9,6,9,3
genus,Atimastillas,2,1,2,1
genus,Atlapetes,33,30,33,3
genus,Atrichornis,2,2,2,0
genus,Atronanus,1,1,1,0
genus,Attagis,2,2,2,0
genus,Atticora,3,3,3,0
genus,Attila,7,7,7,0
genus,Augastes,2,2,2,0
genus,Aulacorhynchus,8,7,8,1
genus,Auriparus,1,1,1,0
genus,Automolus,11,8,11,3
genus,Aviceda,5,5,5,0
genus,Avocettula,1,1,1,0
genus,Aythya,12,12,12,0
genus,Baeolophus,5,5,5,0
genus,Baeopogon,2,2,2,0
genus,Balaeniceps,1,1,1,0
genus,Balearica,2,2,2,0
genus,Bambusicola,3,2,3,1
genus,Bangsia,6,6,6,0
genus,Barnardius,1,1,1,0
genus,Bartramia,1,1,1,0
genus,Baryphthengus,2,2,2,0
genus,Basileuterus,12,8,12,4
genus,Basilinna,2,2,2,0
genus,Basilornis,3,3,3,0
genus,Batara,1,1,1,0
genus,Bathmocercus,2,2,2,0
genus,Batis,20,18,20,2
genus,Batrachostomus,12,9,12,3
genus,Berenicornis,1,1,1,0
genus,Berlepschia,1,1,1,0
genus,Bermuteo,1,1,1,0
genus,Bernieria,1,1,1,0
genus,Bias,1,1,1,0
genus,Biatas,1,1,1,0
genus,Biziura,1,1,1,0
genus,Bleda,5,4,5,1
genus,Blythipicus,2,2,2,0
genus,Bocagia,1,1,1,0
genus,Boissonneaua,3,3,3,0
genus,Bolbopsittacus,1,1,1,0
genus,Bolborhynchus,3,3,3,0
genus,Bolemoreus,2,2,2,0
genus,Bombycilla,3,3,3,0
genus,Bonasa,1,1,1,0
genus,Bostrychia,5,5,5,0
genus,Botaurus,14,13,14,1
genus,Brachycope,1,1,1,0
genus,Brachygalba,4,4,4,0
genus,Brachypteracias,1,1,1,0
genus,Brachypteryx,10,3,10,7
genus,Brachyramphus,3,3,3,0
genus,Bradornis,3,3,3,0
genus,Bradypterus,12,12,12,0
genus,Branta,6,6,6,0
genus,Brotogeris,8,8,8,0
genus,Brunhilda,2,1,2,1
genus,Bubalornis,2,2,2,0
genus,Bubo,12,7,12,5
genus,Bucanetes,2,2,2,0
genus,Buccanodon,1,1,1,0
genus,Bucco,4,4,4,0
genus,Bucephala,3,3,3,0
genus,Buceros,3,3,3,0
genus,Bucorvus,2,2,2,0
genus,Bulweria,3,3,3,0
genus,Buphagus,2,2,2,0
genus,Burhinus,6,5,6,1
genus,Busarellus,1,1,1,0
genus,Butastur,4,4,4,0
genus,Buteo,28,26,28,2
genus,Buteogallus,9,9,9,0
genus,Buthraupis,1,1,1,0
genus,Butorides,4,1,4,3
genus,Bycanistes,6,6,6,0
genus,Cacatua,13,12,13,1
genus,Cacicus,10,10,10,0
genus,Cacomantis,11,7,11,4
genus,Cairina,1,1,1,0
genus,Calamanthus,3,3,3,0
genus,Calamonastes,4,3,4,1
genus,Calamonastides,1,1,1,0
genus,Calamospiza,1,1,1,0
genus,Calandrella,6,4,6,2
genus,Calcarius,3,3,3,0
genus,Calendulauda,8,8,8,0
genus,Calherodius,1,1,1,0
genus,Calicalicus,2,2,2,0
genus,Calidris,24,24,24,0
genus,Caliechthrus,1,1,1,0
genus,Caligavis,3,3,3,0
genus,Callacanthis,1,1,1,0
genus,Callaeas,2,2,2,0
genus,Calliope,5,4,5,1
genus,Callipepla,4,4,4,0
genus,Calliphlox,1,1,1,0
genus,Callocephalon,1,1,1,0
genus,Callonetta,1,1,1,0
genus,Calochaetes,1,1,1,0
genus,Caloenas,2,2,2,0
genus,Calonectris,4,4,4,0
genus,Caloperdix,1,1,1,0
genus,Caloramphus,2,1,2,1
genus,Calothorax,2,2,2,0
genus,Calypte,2,2,2,0
genus,Calyptocichla,1,1,1,0
genus,Calyptomena,3,3,3,0
genus,Calyptophilus,2,2,2,0
genus,Calyptorhynchus,2,2,2,0
genus,Calyptura,1,1,1,0
genus,Camarhynchus,5,5,5,0
genus,Camaroptera,5,3,5,2
genus,Campephaga,4,4,4,0
genus,Campephilus,12,11,12,1
genus,Campethera,10,8,10,2
genus,Campicoloides,1,1,1,0
genus,Campochaera,1,1,1,0
genus,Campocolinus,3,3,3,0
genus,Camptorhynchus,1,1,1,0
genus,Camptostoma,2,2,2,0
genus,Campylopterus,10,8,10,2
genus,Campylorhamphus,6,4,6,2
genus,Campylorhynchus,15,13,15,2
genus,Canachites,1,1,1,0
genus,Canirallus,1,1,1,0
genus,Cantorchilus,12,10,12,2
genus,Capito,11,11,11,0
genus,Caprimulgus,39,35,39,4
genus,Capsiempis,1,1,1,0
genus,Caracara,2,2,2,0
genus,Cardellina,5,5,5,0
genus,Cardinalis,3,3,3,0
genus,Carduelis,4,2,4,2
genus,Cariama,1,1,1,0
genus,Caridonax,1,1,1,0
genus,Carpococcyx,3,3,3,0
genus,Carpodacus,28,26,28,2
genus,Carpodectes,3,3,3,0
genus,Carpornis,2,2,2,0
genus,Carpospiza,1,1,1,0
genus,Carterornis,4,3,4,1
genus,Caryothraustes,2,2,2,0
genus,Casiornis,2,2,2,0
genus,Cassiculus,1,1,1,0
genus,Castanozoster,1,1,1,0
genus,Casuarius,3,3,3,0
genus,Catamblyrhynchus,1,1,1,0
genus,Catamenia,3,3,3,0
genus,Catharopeza,1,1,1,0
genus,Cathartes,3,3,3,0
genus,Catharus,13,12,13,1
genus,Catherpes,1,1,1,0
genus,Catreus,1,1,1,0
genus,Catriscus,1,1,1,0
genus,Ceblepyris,5,4,5,1
genus,Cecropis,9,6,9,3
genus,Celebesica,1,1,1,0
genus,Celeus,12,12,12,0
genus,Centrocercus,2,2,2,0
genus,Centronyx,2,2,2,0
genus,Centropus,29,26,29,3
genus,Cephalopterus,3,3,3,0
genus,Cephalopyrus,1,1,1,0
genus,Cepphus,3,3,3,0
genus,Ceratogymna,2,2,2,0
genus,Ceratopipra,5,5,5,0
genus,Cercibis,1,1,1,0
genus,Cercococcyx,3,3,3,0
genus,Cercomacra,7,7,7,0
genus,Cercomacroides,6,5,6,1
genus,Cercotrichas,5,5,5,0
genus,Cereopsis,1,1,1,0
genus,Cerorhinca,1,1,1,0
genus,Certhia,9,9,9,0
genus,Certhiasomus,1,1,1,0
genus,Certhiaxis,2,2,2,0
genus,Certhidea,2,2,2,0
genus,Certhilauda,4,4,4,0
genus,Certhionyx,1,1,1,0
genus,Ceryle,1,1,1,0
genus,Cettia,4,4,4,0
genus,Ceuthmochares,2,1,2,1
genus,Ceyx,23,9,23,14
genus,Chaetocercus,6,6,6,0
genus,Chaetops,2,1,2,1
genus,Chaetoptila,1,1,1,0
genus,Chaetorhynchus,1,1,1,0
genus,Chaetura,11,10,11,1
genus,Chalcites,8,8,8,0
genus,Chalcomitra,7,7,7,0
genus,Chalcoparia,1,1,1,0
genus,Chalcophaps,3,2,3,1
genus,Chalcopsitta,3,3,3,0
genus,Chalcostigma,5,5,5,0
genus,Chalcothraupis,1,1,1,0
genus,Chalybura,2,2,2,0
genus,Chamaea,1,1,1,0
genus,Chamaepetes,2,2,2,0
genus,Chamaetylas,4,4,4,0
genus,Chamaeza,6,6,6,0
genus,Charadrius,4,4,4,0
genus,Charitospiza,1,1,1,0
genus,Charminetta,1,1,1,0
genus,Charmosyna,3,2,3,1
genus,Charmosynoides,1,1,1,0
genus,Charmosynopsis,2,2,2,0
genus,Chasiempis,3,3,3,0
genus,Chauna,2,2,2,0
genus,Chelictinia,1,1,1,0
genus,Chelidoptera,1,1,1,0
genus,Chelidorhynx,1,1,1,0
genus,Chenonetta,1,1,1,0
genus,Chenorhamphus,2,1,2,1
genus,Cheramoeca,1,1,1,0
genus,Chersomanes,2,1,2,1
genus,Chersophilus,1,1,1,0
genus,Chionis,2,2,2,0
genus,Chionomesa,2,2,2,0
genus,Chiroxiphia,7,7,7,0
genus,Chlamydera,5,5,5,0
genus,Chlamydochaera,1,1,1,0
genus,Chlamydotis,2,2,2,0
genus,Chlidonias,4,4,4,0
genus,Chloebia,1,1,1,0
genus,Chloephaga,5,5,5,0
genus,Chlorestes,5,5,5,0
genus,Chloridops,1,1,1,0
genus,Chloris,6,5,6,1
genus,Chloroceryle,4,4,4,0
genus,Chlorochrysa,3,3,3,0
genus,Chlorocichla,5,5,5,0
genus,Chlorodrepanis,3,3,3,0
genus,Chlorophanes,1,1,1,0
genus,Chlorophoneus,6,6,6,0
genus,Chlorophonia,10,8,10,2
genus,Chloropicus,3,3,3,0
genus,Chloropipo,2,2,2,0
genus,Chloropsis,12,11,12,1
genus,Chlorornis,1,1,1,0
genus,Chlorospingus,8,8,8,0
genus,Chlorostilbon,10,9,10,1
genus,Chlorothraupis,4,3,4,1
genus,Chondestes,1,1,1,0
genus,Chondrohierax,2,1,2,1
genus,Chordeiles,6,6,6,0
genus,Chroicocephalus,10,10,10,0
genus,Chrysococcyx,6,6,6,0
genus,Chrysocolaptes,10,3,10,7
genus,Chrysocorythus,2,1,2,1
genus,Chrysolampis,1,1,1,0
genus,Chrysolophus,2,2,2,0
genus,Chrysomma,2,2,2,0
genus,Chrysomus,2,2,2,0
genus,Chrysophlegma,3,3,3,0
genus,Chrysothlypis,2,2,2,0
genus,Chrysuronia,10,10,10,0
genus,Chunga,1,1,1,0
genus,Cichladusa,3,3,3,0
genus,Cichlocolaptes,2,1,2,1
genus,Cichlopsis,1,1,1,0
genus,Cicinnurus,1,1,1,0
genus,Ciconia,8,7,8,1
genus,Cinclidium,1,1,1,0
genus,Cinclocerthia,2,2,2,0
genus,Cinclodes,15,15,15,0
genus,Cincloramphus,12,9,12,3
genus,Cinclosoma,8,6,8,2
genus,Cinclus,5,5,5,0
genus,Cinnycerthia,4,4,4,0
genus,Cinnyricinclus,1,1,1,0
genus,Cinnyris,63,51,63,12
genus,Circaetus,7,7,7,0
genus,Circus,16,14,16,2
genus,Ciridops,1,1,1,0
genus,Cissa,4,4,4,0
genus,Cissomela,1,1,1,0
genus,Cissopis,1,1,1,0
genus,Cisticola,53,45,53,8
genus,Cistothorus,5,4,5,1
genus,Cittura,2,1,2,1
genus,Cladorhynchus,1,1,1,0
genus,Clamator,4,4,4,0
genus,Clanga,3,3,3,0
genus,Clangula,1,1,1,0
genus,Claravis,1,1,1,0
genus,Cleptornis,1,1,1,0
genus,Clibanornis,5,5,5,0
genus,Climacteris,5,5,5,0
genus,Clytoctantes,2,2,2,0
genus,Clytomyias,1,1,1,0
genus,Clytorhynchus,5,5,5,0
genus,Clytospiza,1,1,1,0
genus,Cnemarchus,2,2,2,0
