model,dispute_block,crps,crps_relative,mean_pinball_loss,interval_width,relative_interval_width,n
claude-haiku-4-5,disputed,7.554385964912281,0.11921885884767817,7.554385964912281,53.21052631578947,0.3118695811093259,38
claude-haiku-4-5,undisputed,0.9520833333333333,0.1650408496732026,0.9520833333333333,2.625,0.9071078431372549,16
claude-opus-4-8,disputed,4.405263157894737,0.05230959351612186,4.405263157894737,61.10526315789474,0.4035256093558038,38
claude-opus-4-8,undisputed,0.14583333333333331,0.07101388888888888,0.14583333333333331,1.875,0.4420588235294118,16
claude-sonnet-4-6,disputed,4.407894736842105,0.10095317300684459,4.407894736842105,44.078947368421055,0.25155325219280444,38
claude-sonnet-4-6,undisputed,0.24791666666666665,0.12351388888888888,0.24791666666666665,1.5,0.32870098039215684,16
claude-sonnet-5,disputed,4.067543859649123,0.08752844636902501,4.067543859649123,41.89473684210526,0.235902906379679,38
claude-sonnet-5,undisputed,0.09999999999999999,0.020127450980392154,0.09999999999999999,1.4375,0.2696323529411765,16
gpt-4o,disputed,11.621929824561404,0.10060149600276666,11.621929824561404,59.18421052631579,0.31289834849869685,38
gpt-4o,undisputed,0.13541666666666666,0.07079411764705881,0.13541666666666666,2.1875,0.5521323529411765,16
gpt-4o-mini,disputed,19.092105263157894,0.10884893088609386,19.092105263157894,105.78947368421052,0.34397724107965943,38
gpt-4o-mini,undisputed,0.5166666666666666,0.23706372549019605,0.5166666666666666,3.3125,0.888014705882353,16
