model,dispute_block,crps,crps_relative,mean_pinball_loss,interval_width,relative_interval_width,n
claude-haiku-4-5,disputed,8.609803921568627,0.12794014838593004,8.609803921568627,71.23529411764706,0.33611622874884334,34
claude-haiku-4-5,undisputed,1.1972222222222222,0.1714618736383442,1.1972222222222222,2.5833333333333335,0.710032679738562,12
claude-opus-4-8,disputed,4.082352941176471,0.05490395134913654,4.082352941176471,60.411764705882355,0.4099527594280614,34
claude-opus-4-8,undisputed,0.1472222222222222,0.06592919389978212,0.1472222222222222,1.9166666666666667,0.2822875816993464,12
claude-sonnet-4-6,disputed,5.18235294117647,0.10372399868198255,5.18235294117647,59.14705882352941,0.30076931217185565,34
claude-sonnet-4-6,undisputed,0.26666666666666666,0.12085185185185184,0.26666666666666666,2.1666666666666665,0.40660130718954246,12
gpt-4o,disputed,11.440196078431374,0.11080964512516683,11.440196078431374,93.05882352941177,0.36479559227690267,34
gpt-4o,undisputed,0.17777777777777778,0.07305882352941176,0.17777777777777778,2.4166666666666665,0.4795098039215686,12
gpt-4o-mini,disputed,31.76274509803922,0.13098373903853547,31.76274509803922,65.23529411764706,0.29394361413058656,34
gpt-4o-mini,undisputed,0.6972222222222221,0.2533071895424836,0.6972222222222221,3.8333333333333335,0.7812418300653595,12
